Stock*,Open,High,Low,Last*,Vol*
JOHAN,0.105,0.105,0.1,0.105,9176
JOHAN-WB,0.035,0.035,0.035,0.035,5000
JTIASA,0.63,0.65,0.625,0.635,44096
KAB,0.395,0.4,0.395,0.395,103262
KAB-WA,0.05,0.05,0.045,0.045,52461
KAMDAR,0.255,0.255,0.255,0.255,205
KAREX,0.435,0.435,0.425,0.425,37091
KARYON,0.31,0.315,0.305,0.31,183834
KAWAN,1.84,1.86,1.83,1.85,748
KEINHIN,0.82,0.83,0.81,0.81,7431
KEN,0.61,0.61,0.61,0.61,190
KENANGA,1.26,1.3,1.26,1.29,879
KERJAYA,1.24,1.24,1.21,1.23,497
KERJAYA-WB,-,-,-,-,0
KESM,12.7,12.9,12.58,12.6,264
KEYASIC,0.115,0.115,0.11,0.115,29024
KFIMA,2,2.03,2,2,363
KGB,1.83,1.88,1.76,1.76,136886
KGB-WB,1.01,1.09,0.99,1.02,195606
KHEESAN,0.16,0.18,0.155,0.18,107
KHIND,4.44,4.53,4.4,4.44,2079
KIALIM,0.445,0.475,0.43,0.475,716
KIMHIN,-,-,-,-,0
KIMLUN,0.8,0.8,0.795,0.795,1210
KIMLUN-WA,-,-,-,-,0
KIPREIT,0.84,0.85,0.84,0.85,7777
KKB,1.3,1.3,1.3,1.3,40
KLCC,6.48,6.51,6.46,6.49,936
KLK,20.04,20.4,20.02,20.12,7700
KLUANG,3.68,3.68,3.68,3.68,83
KMLOONG,1.56,1.57,1.53,1.56,3395
KMLOONG-WB,-,-,-,-,0
KNM,0.235,0.24,0.23,0.23,526289
KNUSFOR,-,-,-,-,0
KOBAY,4.88,5.02,4.86,4.9,13255
KOMARK,0.105,0.115,0.105,0.11,15791
KOMARK-WC,0.035,0.04,0.035,0.035,4206
KOSSAN,2.32,2.41,2.28,2.31,97656
KOTRA,2.78,2.79,2.78,2.79,78
KPJ,1.17,1.17,1.14,1.16,62549
KPOWER,0.645,0.675,0.64,0.665,46970
KPOWER-WA,0.2,0.2,0.195,0.2,21383
KPPROP,0.785,0.79,0.78,0.785,1676
KPS,0.75,0.75,0.74,0.74,2809
KPSCB,-,-,-,-,0
KRETAM,-,-,-,-,0
KSENG,3.33,3.33,3.33,3.33,50
KSL,0.625,0.63,0.62,0.63,3946
KSSC,0.75,0.755,0.74,0.74,5693
KTB,0.17,0.175,0.16,0.175,65673
KTG,0.11,0.115,0.11,0.11,8420
KUB,0.64,0.64,0.63,0.63,12603
KUCHAI,1.77,1.77,1.77,1.77,100
KYM,0.41,0.415,0.4,0.41,6648
L&G,0.125,0.125,0.12,0.125,14651
LAGENDA,1.5,1.5,1.46,1.46,2209
LAGENDA-WB,0.235,0.235,0.215,0.225,604
LANDMRK,0.385,0.385,0.38,0.38,2660
LATITUD,1.6,1.6,1.58,1.58,681
LAYHONG,0.275,0.275,0.275,0.275,3225
LAYHONG-WA,-,-,-,-,0
LBALUM,0.59,0.595,0.575,0.575,33297
LBICAP,0.61,0.61,0.575,0.605,769
LBICAP-WB,0.175,0.175,0.17,0.175,2799
LBS,0.46,0.465,0.46,0.46,3089
LBS-PA,-,-,-,-,0
LCTITAN,2.62,2.67,2.6,2.64,38058
LEBTECH,-,-,-,-,0
LEESK,0.88,0.88,0.88,0.88,252
LEONFB,0.945,0.945,0.93,0.935,2404
LFECORP,0.135,0.135,0.135,0.135,1978
LHI,0.66,0.67,0.65,0.65,15510
LIENHOE,0.4,0.4,0.395,0.395,6000
LIIHEN,3.04,3.04,3.02,3.04,638
LIONIND,0.545,0.545,0.535,0.535,61037
LIONPSIM,-,-,-,-,0
LITRAK,3.75,3.82,3.75,3.78,1034
LOTUS,0.22,0.225,0.22,0.22,2150
LOTUS-WB,0.125,0.125,0.125,0.125,250
LPI,13.98,14.08,13.98,14.08,10
LSTEEL,0.64,0.645,0.635,0.635,789
LTKM,1.09,1.09,1.09,1.09,320
LUSTER,0.13,0.135,0.125,0.13,36127
LUSTER-WA,0.04,0.04,0.035,0.04,1386
LUSTER-WB,0.07,0.07,0.07,0.07,125
LUXCHEM,0.74,0.765,0.735,0.76,7134
LYSAGHT,-,-,-,-,0
M&G,0.115,0.115,0.1,0.115,13379
MAA,0.69,0.7,0.69,0.7,279
MAGNA,-,-,-,-,0
MAGNI,2.13,2.13,2.1,2.1,4612
MAGNUM,2.02,2.05,2.02,2.04,3051
MAHSING,0.715,0.715,0.7,0.705,51959
MALAKOF,0.805,0.825,0.805,0.815,10417
MALPAC,1.22,1.22,1.22,1.22,20
MALTON,0.48,0.495,0.48,0.49,2209
MANULFE,-,-,-,-,0
MARCO,0.145,0.145,0.145,0.145,5292
MASTEEL,0.44,0.44,0.415,0.42,25815
MASTEEL-OR,0.09,0.115,0.09,0.09,253193
MASTER,1.76,1.77,1.75,1.75,389
MATRIX,2.09,2.09,2.04,2.05,3274
MAXIM,0.265,0.27,0.265,0.265,1423
MAXIS,4.7,4.7,4.6,4.69,23028
MAYBANK,8.1,8.1,8.05,8.05,129221
MAYBULK,0.725,0.74,0.71,0.73,157553
MBL,0.495,0.5,0.495,0.495,700
MBL-WA,0.12,0.13,0.12,0.12,1720
MBMR,3.21,3.21,3.18,3.19,315
MBSB,0.615,0.615,0.605,0.605,40993
MCEHLDG,1.48,1.48,1.43,1.43,1979
MCEMENT,2.99,3,2.98,2.99,1549
MCT,0.205,0.21,0.2,0.21,11518
MEDIA,0.49,0.49,0.48,0.49,4039
MEDIAC,0.175,0.18,0.175,0.175,3348
MELATI,-,-,-,-,0
MELEWAR,0.42,0.42,0.41,0.41,21102
MELEWAR-WB,0.265,0.275,0.265,0.265,462
MENANG,0.53,0.535,0.53,0.53,975
MENTIGA,0.68,0.72,0.68,0.72,160
MERCURY,1.18,1.18,1.18,1.18,20
MERIDIAN,0.16,0.18,0.16,0.175,15492
MERIDIAN-WB,0.02,0.02,0.015,0.015,900
MERIDIAN-WC,0.035,0.045,0.035,0.04,2554
MESB,0.49,0.495,0.475,0.475,3363
MESB-WA,0.185,0.2,0.185,0.185,2356
